Post_Title,Post_ID,Post_Date,Post_Score,Comment_Text,Comment_ID,Comment_Author,Comment_Score,Comment_Date,Ticker,Ticker_Mentions_In_Comment,Ticker_Mentions_In_Post,Is_Hinglish,Hinglish_Score,VADER_Sentiment,TextBlob_Sentiment,Combined_Sentiment,VADER_Compound,TextBlob_Polarity
"Going to buy SBI stock, I am bullish. [A bull entered in SBI's branch in Unnao]",193hycn,2024-01-11,7865,Bull be like: pichle Janm ki pension kaha hai meri… uski passbook bhi update karwani hai 😜😜,kh9kq78,Outrageous_Height_64,139,2024-01-11,SBIN.NS,0,2,True,3,Positive,Neutral,bullish,1,0
"Going to buy SBI stock, I am bullish. [A bull entered in SBI's branch in Unnao]",193hycn,2024-01-11,7865,Isko bhi malum hai kaam to hota nahi idhar chalo ghum hi aata hu😂,khbej3s,disinterestedGuy,16,2024-01-11,SBIN.NS,0,2,True,2,Neutral,Neutral,neutral,0,0
"Going to buy SBI stock, I am bullish. [A bull entered in SBI's branch in Unnao]",193hycn,2024-01-11,7865,Use bhi bol diya abhi lunch time hai bad me aana😭,khbisbn,Some_Movie_7322,2,2024-01-11,SBIN.NS,0,2,True,3,Negative,Negative,bearish,-1,-1
"Going to buy SBI stock, I am bullish. [A bull entered in SBI's branch in Unnao]",193hycn,2024-01-11,7865,Stock market would go nuts,khbjgx4,child_target,2,2024-01-11,SBIN.NS,0,2,True,2,Negative,Neutral,bearish,-1,0
"Going to buy SBI stock, I am bullish. [A bull entered in SBI's branch in Unnao]",193hycn,2024-01-11,7865,kharidlo bhai stock upar jane wali hai :),khbjv1u,thescenegrinehere,2,2024-01-11,SBIN.NS,0,2,True,4,Positive,Positive,bullish,1,1
"Going to buy SBI stock, I am bullish. [A bull entered in SBI's branch in Unnao]",193hycn,2024-01-11,7865,"""Sharma ji Kahan baithte Hain ajkal?""",khblq4h,lemonickous,2,2024-01-11,SBIN.NS,0,2,True,3,Neutral,Neutral,neutral,0,0
"Going to buy SBI stock, I am bullish. [A bull entered in SBI's branch in Unnao]",193hycn,2024-01-11,7865,Bhai ko baar baar line mein khada hona pasand nahi aaya,khbotx2,Parking-Necessary764,2,2024-01-11,SBIN.NS,0,2,True,2,Neutral,Neutral,neutral,0,0
"Going to buy SBI stock, I am bullish. [A bull entered in SBI's branch in Unnao]",193hycn,2024-01-11,7865,AC ki hawa khane aaya hai bhai. Wo bhi thoda aanand le le,khbqsfh,l0de_star,2,2024-01-11,SBIN.NS,0,2,True,4,Neutral,Neutral,neutral,0,0
"Going to buy SBI stock, I am bullish. [A bull entered in SBI's branch in Unnao]",193hycn,2024-01-11,7865,Kahi isko bhi term insurance na bech de 😂😂,khbuaas,[deleted],2,2024-01-11,SBIN.NS,0,2,True,2,Neutral,Neutral,neutral,0,0
"Going to buy SBI stock, I am bullish. [A bull entered in SBI's branch in Unnao]",193hycn,2024-01-11,7865,"Definitely he's here for Coin and Note exchange mela, he can't buy stock with old ones.",khbvbvp,PatientOne3053,2,2024-01-11,SBIN.NS,0,2,True,2,Positive,Neutral,bullish,1,0
